Name,Address,City,St,Zip,Phone
168 Chinese Restaurant,7720 Turkey Lake Road,Orlando, Florida,32819,4073631688
1st Choice Restaurant,4081 Columbia Street,Orlando, Florida,32811,4072921332
456 Chinese Restaurant,657 North Primrose Drive,Orlando, Florida,32803,4078981899
4th Fighter Group Restaurant,East Colonial Dr And Ricken,Orlando, Florida,32801,4078984251
5 & Diner,12286 East Colonial Drive,Orlando, Florida,32826,4072071952
88 Chinese Restaurant,4175 Town Center Boulevard,Orlando, Florida,32837,4074380388
88 Chinese Restaurant,6115 Silver Star Road,Orlando, Florida,32808,4072971171
88 Noodle,730 North Mills Avenue,Orlando, Florida,32803,4078973488
A JS Chicken & Seafood,601 West Church Street,Orlando, Florida,32805,4078418880
A JS Deli,7680 Universal Boulevard,Orlando, Florida,32819,4073635733
A JS Deli,7061 Grand National Drive,Orlando, Florida,32819,4073523663
A Slice of New York,13851 South John Young Parkway,Orlando, Florida,32837,4078540064
Adobe Gilas,9101 International Drive,Orlando, Florida,32819,4079031477
Ahmed Restaurant,11349 South Orange Blossom Tra,Orlando, Florida,32837,4078568272
AJ Ender Restaurant Managment Recruiter,1210 Romano Avenue,Orlando, Florida,32807,4074820156
AJS Jerk Center,2389 West Church Street,Orlando, Florida,32805,4072982312
Aldos Italian Deli Inc,6325 North Orange Blossom Trai,Orlando, Florida,32810,4072998726
Alessandras International Restaurant,7467 International Drive,Orlando, Florida,32819,4079039290
Alex Tortilleria & Restaurant,2417 West Oak Ridge Road,Orlando, Florida,32809,4078883531
Alfonsos Pizza & More,3231 Edgewater Drive,Orlando, Florida,32804,4078727324
All American Burgers & Dogs,5291 West Oak Ridge Road,Orlando, Florida,32819,4072481145
All American Hot Dogs,861 North Alafaya Trail,Orlando, Florida,32828,4072819971
All Star Cafe Restaurant,890 South Victory Way,Orlando, Florida,32830,4078278326
Amalfi Italian Restaurant & Pizza,523 South Chickasaw Trail,Orlando, Florida,32825,4072826283
Amber Keg,7521 South Orange Avenue,Orlando, Florida,32809,4078519755
American West Indian Seafood & Grocery,5931 Old Winter Garden Road,Orlando, Florida,32835,4072929846
Amerisuites Orlando Convention Center,8741 International Dr,Orlando, Florida,32819,4073704720
Amerisuites Orlando Universal,5901 Caravan Ct,Orlando, Florida,32819,4073510627
Amigos Original Tex-Mex,6036 South Orange Blossom Trai,Orlando, Florida,32809,4078573144
Amigos VII,25 West Church Street,Orlando, Florida,32801,4079994885
Amura Japanese Restaurant,55 West Church Street,Orlando, Florida,32801,4073168500
Amura Windermere Japanese Restaurant,7780 West Sand Lake Road,Orlando, Florida,32819,4073700007
Andy Nice House Restaurant,11358 South Orange Blossom Tra,Orlando, Florida,32837,4078574688
Angel's Diner,Colonial Drive,Orlando, Florida,32810,4074262029
Angels Diner & Bakery,204 West Colonial Drive,Orlando, Florida,32801,4074262029
Angel's Diner & Bakery,304 West Colonial Drive,Orlando, Florida,32801,4073971960
Angkoowatp Inc,12384 State Road 535,Orlando, Florida,32836,4072389996
ANH Hong Sandwich Deli & Restaurant,1124 East Colonial Drive,Orlando, Florida,32803,4079992656
Anthonys Next Door,106 North Summerlin Avenue,Orlando, Florida,32801,4076482772
Anthonys Pizza Cafe,100 North Summerlin Avenue,Orlando, Florida,32801,4076480009
Anthonys Pizza-Ucf,10165 University Boulevard,Orlando, Florida,32817,4076796080
Antonios Restaurant and Pizza,5464 Chiswick Circle,Orlando, Florida,32812,4072736799
